# Summary of Internet whois servers, 5 June 1997
# - derived from listing/documentation available via anonymous FTP in
#    sipb.mit.edu:/pub/whois/whois-servers.list  (Version 4.4)
# Please send any corrections to Matt Power <mhpower@athena.mit.edu>.
# This summary file may be redistributed provided that this notice
# section (the 7 lines at the top starting with ";") remains intact.
# Please refer to the whois-servers.list file for further information.

whois.ibm.com                   IBM C=US
wp.doe.gov                      U.S. Department of Energy C=US
llnl.gov                        Lawrence Livermore National Laboratory C=US
x500.arc.nasa.gov               NASA Ames Research Center C=US
x500.gsfc.nasa.gov              NASA Goddard Space Flight Center C=US
larc.nasa.gov                   NASA Langley Research Center C=US
wp.nersc.gov                    National Energy Research Supercomputer Center C=US
seda.sandia.gov                 Sandia National Laboratories C=US
whois.nic.ddn.mil               DoD Network Information Center (Department of Defense and Military only) C=US
whois.nrl.navy.mil              Naval Research Laboratory C=US
wp.es.net                       Energy Sciences Network C=US
ds.internic.net                 Network Solutions, Inc. (non-MILNET/non-POC) C=US
whois.internic.net              Network Solutions, Inc. C=US
whois.lac.net                   Latin America & Caribbean Whois Server C=EC
whois.ripe.net                  Reseaux IP Europeens C=NL
whois.morris.org                Morris Automated Information Network C=US
whois.risc.uni-linz.ac.at       Research Institute for Symbolic Computation, University of Linz C=AT
archie.au                       Australian Academic and Research Network C=AU
whois.adelaide.edu.au           University of Adelaide C=AU
whois.monash.edu.au             Monash University C=AU
uwa.edu.au                      University of Western Australia C=AU
sserve.cc.adfa.oz.au            University College, Australian Defense Force Academy C=AU
whois.kuleuven.ac.be            Katholieke Universiteit Leuven C=BE
whois.belnet.be                 Belgian National Research Network C=BE
whois.camosun.bc.ca             Camosun College, Victoria, B.C. C=CA
whois.queensu.ca                Queen's University, Kingston, Canada C=CA
ac.nsac.ns.ca                   Nova Scotia Agricultural College C=CA
whois.unb.ca                    University of New Brunswick C=CA
panda1.uottawa.ca               University of Ottawa C=CA
dvinci.usask.ca                 University of Saskatchewan, Engineering C=CA
whois.usask.ca                  University of Saskatchewan C=CA
phys.uvic.ca                    University of Victoria, Physics & Astronomy C=CA
whois.uwo.ca                    University of Western Ontario C=CA
whois.nic.ch                    SWITCH Swiss Academic and Research Network C=CH
whois.ci.ucr.ac.cr              University of Costa Rica Computer Center C=CR
whois.cuni.cz                   Charles University, Prague C=CZ
whois.mff.cuni.cz               Charles University, Faculty of Mathematics and Physics C=CZ
whois.vutbr.cz                  Technical University of Brno C=CZ
whois.fh-koeln.de               Fachhochschule Koeln C=DE
whois.fzi.de                    Forschungszentrum Informatik C=DE
hermes.informatik.htw-zittau.de HTW Zittau/Goerlitz Elektrotechnik/Informatik C=DE
whois.th-darmstadt.de           Darmstadt University of Technology C=DE
whois.tu-chemnitz.de            Technische Universitaet Chemnitz C=DE
whois.uni-regensburg.de         Universitaet Regensburg C=DE
whois.uni-c.dk                  Danish Computing Centre for Research and Education C=DK
whois.eunet.es                  EUnet, Goya, Spain C=ES
whois.dit.upm.es                Tech. Univ. Madrid, Telecommunications Highschool C=ES
cs.hut.fi                       Helsinki University of Technology C=FI
oulu.fi                         Oulu University C=FI
vtt.fi                          Technical Research Centre of Finland C=FI
whois.univ-lille1.fr            University of Sciences and Technologies of Lille - France C=FR
isgate.is                       Association of Research Networks in Iceland C=IS
dsa.nis.garr.it                 GARR-NIS c/o CNR-CNUCE C=IT
whois.nis.garr.it               GARR-NIS c/o CNR-CNUCE C=IT
whois-server.l.chiba-u.ac.jp    Chiba University C=JP
whois.cc.keio.ac.jp             Keio University C=JP
whois.cc.uec.ac.jp              University of Electro-Communications C=JP
whois.nic.ad.jp                 Japan Network Information Center C=JP
whois.nic.li                    SWITCH Swiss Academic and Research Network C=LI
whois.canterbury.ac.nz          University of Canterbury C=NZ
directory.vuw.ac.nz             Victoria University, Wellington C=NZ
waikato.ac.nz                   Waikato University C=NZ
whois.elka.pw.edu.pl            Faculty of Electronic Engineering, Warsaw University of Technology C=PL
whois.ia.pw.edu.pl              Institute of Automatic Control, Warsaw University of Technology C=PL
chalmers.se                     Chalmers University of Technology C=SE
kth.se                          Royal Institute of Technology C=SE
sics.se                         Swedish Institute of Computer Science C=SE
whois.sunet.se                  SUNET (Swedish University Network) C=SE
whois.uakom.sk                  SANET (WAN of Slovak academic institutions) C=SK
src.doc.ic.ac.uk                Imperial College C=GB
whois.lut.ac.uk                 Loughborough University C=GB
www.nic.uk                      Nominet UK (.UK Domain Registrar) C=GB
whois.state.ct.us               Department of Administrative Services, State of Connecticut C=US
info.cnri.reston.va.us          Corporation for National Research Initiatives, Knowbot interface C=US
whois.und.ac.za                 University of Natal (Durban) C=ZA

